CODE_STIF_TRNS,CODE_STIF_RES,CODE_STIF_ARRET,LIBELLE_ARRET,ID_REFA_LDA,CAT_JOUR,TRNC_HORR_60,pourc_validations
810,802,401,LA HACQUINIERE,62825,JOHV,16H-17H,2.6
810,802,401,LA HACQUINIERE,62825,JOHV,1H-2H,0.01
810,802,401,LA HACQUINIERE,62825,JOHV,20H-21H,1.34
810,802,401,LA HACQUINIERE,62825,JOHV,23H-0H,0.17
810,802,401,LA HACQUINIERE,62825,JOHV,5H-6H,1.48
810,802,401,LA HACQUINIERE,62825,JOHV,7H-8H,28.85
810,802,401,LA HACQUINIERE,62825,JOHV,8H-9H,23.84
810,802,401,LA HACQUINIERE,62825,JOHV,11H-12H,3
810,802,401,LA HACQUINIERE,62825,JOHV,17H-18H,3.48
810,802,401,LA HACQUINIERE,62825,JOHV,21H-22H,0.55
810,802,401,LA HACQUINIERE,62825,JOHV,9H-10H,7.69
810,802,401,LA HACQUINIERE,62825,JOHV,10H-11H,3.36
810,802,401,LA HACQUINIERE,62825,JOHV,12H-13H,3.23
810,802,401,LA HACQUINIERE,62825,JOHV,13H-14H,3.26
810,802,401,LA HACQUINIERE,62825,JOHV,15H-16H,2.14
810,802,401,LA HACQUINIERE,62825,JOHV,19H-20H,2.27
810,802,401,LA HACQUINIERE,62825,JOHV,6H-7H,6.62
810,802,401,LA HACQUINIERE,62825,JOHV,14H-15H,2.31
810,802,401,LA HACQUINIERE,62825,JOHV,22H-23H,0.36
810,802,401,LA HACQUINIERE,62825,JOHV,0H-1H,0
810,802,401,LA HACQUINIERE,62825,JOHV,18H-19H,3.05
810,802,401,LA HACQUINIERE,62825,JOHV,4H-5H,0.39
810,802,118,BURES-SUR-YVETTE,62851,JOHV,12H-13H,8.57
810,802,118,BURES-SUR-YVETTE,62851,JOHV,14H-15H,3.47
810,802,118,BURES-SUR-YVETTE,62851,JOHV,15H-16H,9.85
810,802,118,BURES-SUR-YVETTE,62851,JOHV,18H-19H,8.5
810,802,118,BURES-SUR-YVETTE,62851,JOHV,23H-0H,0.28
810,802,118,BURES-SUR-YVETTE,62851,JOHV,5H-6H,0.86
810,802,118,BURES-SUR-YVETTE,62851,JOHV,10H-11H,3.67
810,802,118,BURES-SUR-YVETTE,62851,JOHV,1H-2H,0
810,802,118,BURES-SUR-YVETTE,62851,JOHV,22H-23H,0.65
810,802,118,BURES-SUR-YVETTE,62851,JOHV,6H-7H,3.33
810,802,118,BURES-SUR-YVETTE,62851,JOHV,7H-8H,8.63
810,802,118,BURES-SUR-YVETTE,62851,JOHV,17H-18H,16.34
810,802,118,BURES-SUR-YVETTE,62851,JOHV,9H-10H,3.36
810,802,118,BURES-SUR-YVETTE,62851,JOHV,8H-9H,7.92
810,802,118,BURES-SUR-YVETTE,62851,JOHV,0H-1H,0.01
810,802,118,BURES-SUR-YVETTE,62851,JOHV,11H-12H,3.78
810,802,118,BURES-SUR-YVETTE,62851,JOHV,16H-17H,9.72
810,802,118,BURES-SUR-YVETTE,62851,JOHV,19H-20H,4.22
810,802,118,BURES-SUR-YVETTE,62851,JOHV,20H-21H,1.82
810,802,118,BURES-SUR-YVETTE,62851,JOHV,21H-22H,0.92
810,802,118,BURES-SUR-YVETTE,62851,JOHV,13H-14H,3.89
810,802,118,BURES-SUR-YVETTE,62851,JOHV,4H-5H,0.2
