,date,ninsee,no2,o3,pm10
11,01/01/2017,75103,21,8,35
13,01/01/2017,75105,20,8,34
18,01/01/2017,75110,22,8,37
22,01/01/2017,75114,19,10,34
768,01/01/2017,78575,9,15,29
842,01/01/2017,91122,10,15,29
884,01/01/2017,91272,9,15,29
910,01/01/2017,91377,13,14,30
934,01/01/2017,91471,10,14,29
936,01/01/2017,91477,11,14,29
1001,01/01/2017,92002,14,13,30
1006,01/01/2017,92014,14,11,30
1038,01/01/2017,93005,21,8,40
1040,01/01/2017,93007,22,7,37
1043,01/01/2017,93013,23,6,35
1046,01/01/2017,93027,23,6,37
1047,01/01/2017,93029,23,7,35
1068,01/01/2017,93066,24,6,37
1075,01/01/2017,93078,20,8,40
1079,01/01/2017,94003,16,10,32
1092,01/01/2017,94037,18,9,34
1268,01/01/2017,95527,20,5,42
1320,02/01/2017,75103,32,6,37
1322,02/01/2017,75105,33,7,39
1327,02/01/2017,75110,33,6,37
1331,02/01/2017,75114,34,9,39
2077,02/01/2017,78575,25,14,27
2151,02/01/2017,91122,25,13,29
2193,02/01/2017,91272,26,14,27
2219,02/01/2017,91377,30,12,35
2243,02/01/2017,91471,27,13,30
2245,02/01/2017,91477,28,13,30
2310,02/01/2017,92002,33,11,35
2315,02/01/2017,92014,34,10,35
2347,02/01/2017,93005,29,10,37
2349,02/01/2017,93007,29,9,35
2352,02/01/2017,93013,27,9,32
2355,02/01/2017,93027,28,10,32
2356,02/01/2017,93029,30,9,34
2377,02/01/2017,93066,30,12,35
2384,02/01/2017,93078,26,11,39
2388,02/01/2017,94003,35,8,39
2401,02/01/2017,94037,35,8,39
2577,02/01/2017,95527,25,12,37
2629,03/01/2017,75103,37,7,49
2631,03/01/2017,75105,36,7,47
2636,03/01/2017,75110,37,7,49
2640,03/01/2017,75114,34,9,45
3386,03/01/2017,78575,21,16,20
3460,03/01/2017,91122,24,16,22
3502,03/01/2017,91272,24,16,22
3528,03/01/2017,91377,30,14,30
3552,03/01/2017,91471,26,15,22
3554,03/01/2017,91477,28,15,25
3619,03/01/2017,92002,31,13,32
3624,03/01/2017,92014,31,11,35
3656,03/01/2017,93005,35,6,42
3658,03/01/2017,93007,34,7,40
3661,03/01/2017,93013,33,7,39
3664,03/01/2017,93027,34,8,40
3665,03/01/2017,93029,34,7,40
3686,03/01/2017,93066,36,9,45
3693,03/01/2017,93078,35,5,42
3697,03/01/2017,94003,32,9,40
3710,03/01/2017,94037,33,8,44
3886,03/01/2017,95527,31,8,35
3938,04/01/2017,75103,34,12,34
3940,04/01/2017,75105,35,12,32
3945,04/01/2017,75110,35,13,34
3949,04/01/2017,75114,35,15,32
4695,04/01/2017,78575,20,20,24
4769,04/01/2017,91122,22,20,24
4811,04/01/2017,91272,22,20,24
4837,04/01/2017,91377,30,19,27
4861,04/01/2017,91471,23,20,24
4863,04/01/2017,91477,26,20,25
4928,04/01/2017,92002,31,18,27
4933,04/01/2017,92014,33,16,29
4965,04/01/2017,93005,31,15,27
4967,04/01/2017,93007,29,16,27
4970,04/01/2017,93013,29,16,27
4973,04/01/2017,93027,31,18,29
4974,04/01/2017,93029,29,16,27
4995,04/01/2017,93066,34,19,30
5002,04/01/2017,93078,32,14,27
5006,04/01/2017,94003,34,15,30
5019,04/01/2017,94037,35,14,32
5195,04/01/2017,95527,28,16,27
5247,05/01/2017,75103,39,18,39
5249,05/01/2017,75105,38,18,40
5254,05/01/2017,75110,42,17,42
5258,05/01/2017,75114,37,18,42
6004,05/01/2017,78575,34,23,39
6078,05/01/2017,91122,35,22,39
6120,05/01/2017,91272,35,22,39
6146,05/01/2017,91377,40,22,42
6170,05/01/2017,91471,36,22,39
6172,05/01/2017,91477,38,22,40
6237,05/01/2017,92002,40,21,44
6242,05/01/2017,92014,39,20,44
6274,05/01/2017,93005,42,19,40
6276,05/01/2017,93007,42,19,40
6279,05/01/2017,93013,41,18,40
6282,05/01/2017,93027,42,18,40
6283,05/01/2017,93029,43,19,40
6304,05/01/2017,93066,45,18,42
6311,05/01/2017,93078,39,18,39
6315,05/01/2017,94003,38,19,44
6328,05/01/2017,94037,38,18,42
6504,05/01/2017,95527,35,19,39
6556,06/01/2017,75103,36,13,44
6558,06/01/2017,75105,35,13,45
6563,06/01/2017,75110,40,13,45
6567,06/01/2017,75114,34,12,45
7313,06/01/2017,78575,32,15,40
7387,06/01/2017,91122,32,14,44
7429,06/01/2017,91272,32,15,44
7455,06/01/2017,91377,33,15,49
7479,06/01/2017,91471,32,14,44
7481,06/01/2017,91477,32,15,45
7546,06/01/2017,92002,33,15,49
7551,06/01/2017,92014,32,15,49
7583,06/01/2017,93005,43,17,47
7585,06/01/2017,93007,43,16,49
7588,06/01/2017,93013,42,15,49
7591,06/01/2017,93027,42,15,47
7592,06/01/2017,93029,42,16,50
