,TYPE,ANNEE,TOUR,CODE_INSEE,COMMUNE,INSCRITS,ABSTENTIONS,VOTANTS,BLANCS_ET_NULS,EXPRIMES,CANDIDAT_OU_LISTE,VOIX
158,Présidentielles,2017,1,92014,BOURG LA REINE,13769,2202,11567,212,11355,POUTOU Philippe,62
587,Présidentielles,2017,1,92002,ANTONY,41488,6486,35002,776,34226,LASSALLE Jean,233
592,Présidentielles,2017,1,92014,BOURG LA REINE,13769,2202,11567,212,11355,ASSELINEAU François,102
864,Présidentielles,2017,1,92002,ANTONY,41488,6486,35002,776,34226,HAMON Benoît,2684
865,Présidentielles,2017,1,92002,ANTONY,41488,6486,35002,776,34226,POUTOU Philippe,188
921,Présidentielles,2017,1,92014,BOURG LA REINE,13769,2202,11567,212,11355,CHEMINADE Jacques,15
1186,Présidentielles,2017,1,92002,ANTONY,41488,6486,35002,776,34226,FILLON François,9139
1803,Présidentielles,2017,1,92014,BOURG LA REINE,13769,2202,11567,212,11355,ARTHAUD Nathalie,27
2064,Présidentielles,2017,1,92002,ANTONY,41488,6486,35002,776,34226,ARTHAUD Nathalie,119
2630,Présidentielles,2017,1,92014,BOURG LA REINE,13769,2202,11567,212,11355,FILLON François,3189
3033,Présidentielles,2017,1,92014,BOURG LA REINE,13769,2202,11567,212,11355,LASSALLE Jean,65
3399,Présidentielles,2017,1,92002,ANTONY,41488,6486,35002,776,34226,MACRON Emmanuel,11692
3402,Présidentielles,2017,1,92014,BOURG LA REINE,13769,2202,11567,212,11355,MACRON Emmanuel,4168
3651,Présidentielles,2017,1,92014,BOURG LA REINE,13769,2202,11567,212,11355,DUPONT-AIGNAN Nicolas,292
4236,Présidentielles,2017,1,92002,ANTONY,41488,6486,35002,776,34226,CHEMINADE Jacques,67
4240,Présidentielles,2017,1,92014,BOURG LA REINE,13769,2202,11567,212,11355,LE PEN Marine,608
4520,Présidentielles,2017,1,92002,ANTONY,41488,6486,35002,776,34226,LE PEN Marine,2606
4521,Présidentielles,2017,1,92002,ANTONY,41488,6486,35002,776,34226,MÉLENCHON Jean-Luc,6018
5773,Présidentielles,2017,1,92014,BOURG LA REINE,13769,2202,11567,212,11355,HAMON Benoît,936
5845,Présidentielles,2017,1,92014,BOURG LA REINE,13769,2202,11567,212,11355,MÉLENCHON Jean-Luc,1891
6111,Présidentielles,2017,1,92002,ANTONY,41488,6486,35002,776,34226,ASSELINEAU François,312
6112,Présidentielles,2017,1,92002,ANTONY,41488,6486,35002,776,34226,DUPONT-AIGNAN Nicolas,1168
