,Unnamed: 0,LIBELLE_ARRET,pourc_validations,TRNC_HORR_60,NB_VALD,NB_VALD_HOUR
0,0,DENFERT-ROCHEREAU,3.59,11H-12H,17593.385869565216,63160.25527173912
1,1,DENFERT-ROCHEREAU,5.03,12H-13H,17593.385869565216,88494.73092391304
2,2,DENFERT-ROCHEREAU,5.6,13H-14H,17593.385869565216,98522.9608695652
3,3,DENFERT-ROCHEREAU,5.52,15H-16H,17593.385869565216,97115.49
4,4,DENFERT-ROCHEREAU,9.12,17H-18H,17593.385869565216,160451.67913043476
5,5,DENFERT-ROCHEREAU,4.74,20H-21H,17593.385869565216,83392.64902173913
6,6,DENFERT-ROCHEREAU,3.15,21H-22H,17593.385869565216,55419.16548913043
7,7,CHATELET-LES HALLES,0.0,3H-4H,54721.494565217385,0.0
8,8,CHATOU-CROISSY,0.03,1H-2H,5186.755434782609,155.60266304347823
9,9,CHATOU-CROISSY,0.82,5H-6H,5186.755434782609,4253.139456521739
10,10,CHATOU-CROISSY,9.8,9H-10H,5186.755434782609,50830.20326086957
11,11,CHATELET-LES HALLES,4.9,14H-15H,54721.494565217385,268135.32336956525
12,12,CHATELET-LES HALLES,11.67,17H-18H,54721.494565217385,638599.8415760868
13,13,CHATELET-LES HALLES,4.55,22H-23H,54721.494565217385,248982.80027173914
14,14,CHATELET-LES HALLES,0.0,2H-3H,54721.494565217385,0.0
15,15,CHATELET-LES HALLES,1.75,7H-8H,54721.494565217385,95762.61548913043
16,16,CHATELET-LES HALLES,2.79,9H-10H,54721.494565217385,152672.96983695653
17,17,CHATOU-CROISSY,3.55,12H-13H,5186.755434782609,18412.981793478266
18,18,CHATOU-CROISSY,4.86,16H-17H,5186.755434782609,25207.63141304348
19,19,CHATOU-CROISSY,1.82,20H-21H,5186.755434782609,9439.894891304348
20,20,CHATOU-CROISSY,0.91,21H-22H,5186.755434782609,4719.947445652174
21,21,CHATOU-CROISSY,0.43,23H-0H,5186.755434782609,2230.3048369565217
22,22,CHATOU-CROISSY,0.0,2H-3H,5186.755434782609,0.0
23,23,CHATOU-CROISSY,2.67,6H-7H,5186.755434782609,13848.637010869565
24,24,BOURG-LA-REINE,3.9,10H-11H,10464.875,40813.0125
25,25,BOURG-LA-REINE,3.39,14H-15H,10464.875,35475.926250000004
26,26,BOURG-LA-REINE,4.1,15H-16H,10464.875,42905.9875
27,27,BOURG-LA-REINE,2.46,20H-21H,10464.875,25743.5925
28,28,BOURG-LA-REINE,3.66,6H-7H,10464.875,38301.44250000001
29,29,BURES-SUR-YVETTE,8.57,12H-13H,1350.4565217391305,11573.412391304351
30,30,BURES-SUR-YVETTE,3.47,14H-15H,1350.4565217391305,4686.084130434782
