,insee,TauxProprietaires,TauxChomage,NiveauVieMedian,densitehabkm2,dipl_su_tx,no2,o3,pm10,Tour1Candidat1,tp,medianendv,nb_redevables,patrimoineeuro,impotmoyeneuro,prixm2
0,78561,77.10843373,3.913043478,36311.0,66.2613981763,0.5663597368384343,16.343406593406595,32.082417582417584,24.543956043956044,FILLON François,,36311.4705882,,,,2113.0
9,91338,70.49360146,6.921675774,28123.0,459.75869410900003,0.40709143201044834,15.585164835164836,33.145604395604394,24.571428571428573,MACRON Emmanuel,5.0,28122.777777799998,,,,2881.0
18,91122,71.18371719,8.049014897000001,31769.0,2145.45454545,0.6391100023378906,19.354395604395606,32.717032967032964,25.98901098901099,MACRON Emmanuel,5.0,31768.8888889,,,,3848.0
27,78343,78.38827839,6.285714286,37659.0,620.883534137,0.6348455336835019,21.62087912087912,30.87912087912088,26.065934065934066,FILLON François,,37659.3333333,,,,4044.0
36,91679,74.4,7.3170731710000005,31538.0,201.80327868900002,0.5407577497129736,19.321428571428573,31.86813186813187,25.61263736263736,MACRON Emmanuel,,31538.4,,,,3673.0
45,78620,70.91836735,6.697819315,32816.0,249.627791563,0.6201433220271262,20.01098901098901,31.445054945054945,25.8489010989011,MACRON Emmanuel,,32816.4,,,,3914.0
54,78143,84.55598456,6.789250354,34954.0,287.018255578,0.6663212435233159,19.17032967032967,31.89010989010989,25.57967032967033,MACRON Emmanuel,,34953.6666667,,,,3631.0
63,91275,71.14427861,6.8482490270000005,29234.0,523.3532934130001,0.5144027508202731,17.61263736263736,32.84065934065934,25.29945054945055,MACRON Emmanuel,,29234.0,,,,3365.0
72,78322,61.42949131,9.023005677,33588.0,801.073170732,0.6158970901949793,22.79945054945055,31.15934065934066,26.71153846153846,MACRON Emmanuel,7.0,33588.3333333,,,,4420.0
81,78117,66.54072208,7.027406887000001,33116.0,651.552795031,0.6251562890722681,22.85164835164835,30.939560439560438,26.60164835164835,MACRON Emmanuel,,33115.7142857,,,,4426.0
90,78297,39.10222222,10.18083532,23318.0,2130.09049774,0.4576830779875038,21.25,31.162087912087912,26.447802197802197,MACRON Emmanuel,10.0,23318.0952381,,,,3529.0
99,91471,59.554277500000005,8.283947436,30417.0,2126.06951872,0.6085678866256707,20.576923076923077,32.2032967032967,26.46978021978022,MACRON Emmanuel,6.0,30417.2,,,,3805.0
108,78356,60.655737699999996,9.444086713999999,26286.0,545.890821836,0.4352541275493687,18.906593406593405,32.13461538461539,25.593406593406595,MACRON Emmanuel,6.0,26285.7142857,,,,3197.0
117,91274,75.75757576,6.896551724,31081.0,143.285123967,0.528327167932374,16.914835164835164,33.01648351648352,25.024725274725274,MACRON Emmanuel,,31081.4285714,,,,3326.0
126,91272,67.45860331,7.863010776,33295.0,1732.94117647,0.6367747135105222,19.39835164835165,32.887362637362635,25.86263736263736,MACRON Emmanuel,5.0,33294.5,95.0,2030688.70526316,7282.48421052632,3484.0
135,78575,72.87409361,8.580949736,32875.0,794.517766497,0.5818081800611227,17.60164835164835,32.64010989010989,25.013736263736263,MACRON Emmanuel,5.0,32875.0,,,,3764.0
144,91319,81.30081301,6.52173913,28821.0,70.0598802395,0.3829121944806043,17.84065934065934,32.80494505494506,25.48901098901099,FILLON François,,28820.952381,,,,2332.0
153,91560,70.44025157,4.6082949310000005,27206.0,69.5760598504,0.4097222222222222,19.184065934065934,32.66483516483517,26.013736263736263,MACRON Emmanuel,,27206.1904762,,,,2146.0
162,91111,76.59894658,6.591549296,28084.0,312.254025045,0.43496482524226604,16.810439560439562,33.05494505494506,25.046703296703296,MACRON Emmanuel,,28084.2857143,,,,2714.0
171,91249,79.25824176,6.968641115,27584.0,255.48738923,0.43959371671333713,15.31868131868132,33.12362637362637,24.51923076923077,MACRON Emmanuel,,27583.9130435,,,,2659.0
180,78545,40.15382575,9.637934581,23878.0,3454.99021526,0.45620517271360295,21.96153846153846,30.266483516483518,26.766483516483518,MACRON Emmanuel,10.0,23877.5,,,,3723.0
189,91534,71.51767152,5.050505051,32046.0,250.83880379299998,0.5287325850311893,21.667582417582416,31.903846153846153,26.48901098901099,MACRON Emmanuel,,32045.7142857,,,,4130.0
198,78160,64.44826106,6.528081692000001,30295.0,426.745040411,0.5397550116829042,16.571428571428573,32.5989010989011,24.686813186813186,FILLON François,6.0,30294.615384599994,,,,3240.0
207,91538,73.94366197,7.449856734,36170.0,195.77464788700001,0.6974459724950889,18.925824175824175,32.02197802197802,25.51923076923077,MACRON Emmanuel,,36169.5,,,,3710.0
216,78688,70.97500563,6.544181977,33333.0,3204.1322314,0.6324807502656935,18.607142857142858,31.302197802197803,25.395604395604394,MACRON Emmanuel,5.0,33332.6666667,,,,4103.0
225,91411,83.4965035,5.345211581,32523.0,279.574468085,0.5193165590961908,15.387362637362637,32.870879120879124,24.373626373626372,MACRON Emmanuel,,32522.5,,,,3312.0
234,91482,82.14285714,3.5587188610000005,28278.0,83.5781041389,0.38826575744062997,13.934065934065934,32.97802197802198,24.013736263736263,MACRON Emmanuel,,28277.6190476,,,,2923.0
243,78162,81.46341463,12.14574899,32643.0,59.709821428599994,0.5280973318115112,14.26923076923077,32.83791208791209,23.967032967032967,FILLON François,,32642.6666667,,,,1767.0
252,78406,87.25490196,9.821428571,39244.0,95.4692556634,0.5750423328916965,16.903846153846153,31.994505494505493,24.692307692307693,FILLON François,,39244.0,,,,2263.0
261,91093,92.64069264,4.7619047619999995,34924.0,131.147540984,0.6078431372549019,14.98076923076923,32.76648351648352,24.23076923076923,FILLON François,,34924.3478261,,,,2149.0
270,91634,75.98343685,5.379746835,26944.0,209.090909091,0.4213802654209092,15.04945054945055,32.84340659340659,24.291208791208792,MACRON Emmanuel,,26943.9393939,,,,1689.0
279,78548,79.08163265,4.7244094489999995,35335.0,76.9102990033,0.5723548034893968,15.093406593406593,32.332417582417584,24.104395604395606,FILLON François,,35334.8,,,,2648.0
